id,geom,species,name,lat,lon,surveyed,gid
152,0104000020B20E0000010000000101000000C30CD31E1264E6C0624704FF5DF4FA40,gentoo,Nameless Point 6,-54.0061,-37.6994,1999,152
153,0104000020B20E0000010000000101000000827346636568E6C0411BA140BBE6FA40,gentoo,Nameless Point 7,-54.0081,-37.7,1999,153
154,0104000020B20E00000100000001010000003B2E1C221C6DE6C00B58841E3028FA40,gentoo,Narval Bay west 1,-54.0355,-37.701,1999,154
155,0104000020B20E000001000000010100000069E9962E31B1E6C0B2CCC4A34DEDF940,gentoo,Narval Bay west 2,-54.0439,-37.7095,1999,155
156,0104000020B20E0000010000000101000000894F67071BAAE2C0E95A5A97C745F640,gentoo,Nilse Hullet,-54.179,-37.5854,1999,156
157,0104000020B20E00000100000001010000000F286861A76CE1C0BF31381E2386FA40,gentoo,North of Brunonia Glacier 1,-54.0228,-37.5445,1999,157
158,0104000020B20E00000100000001010000005A860BF93C07E1C096B62991DE9CFA40,gentoo,North of Brunonia Glacier 2,-54.0196,-37.5321,1999,158
159,0104000020B20E000001000000010100000058C007E770D6E0C00FE8D02F978BFA40,gentoo,North of Brunonia Glacier 3,-54.0221,-37.5261,1999,159
160,0104000020B20E0000010000000101000000C06259BE6FD9E5408B9177DC59E6DC40,gentoo,North of Diaz Cove 1,-54.7322,-36.3054,1999,160
161,0104000020B20E000001000000010100000007CC25E5647EE5402D3E3D904034DD40,gentoo,North of Diaz Cove 2,-54.7295,-36.3167,1999,161
162,0104000020B20E000001000000010100000019F44DC7C012E4C0E7CCC8E0F232F640,gentoo,North of Samuel Islands,-54.1815,-37.6297,1999,162
163,0104000020B20E000001000000010100000042288C67CA24E440A76E29DE9AF5E240,gentoo,Novosilski Bay,-54.6495,-36.3609,1999,163
164,0104000020B20E0000010000000101000000AD40079F3C87E3402A887E8ECB40E340,gentoo,Novosilski Bay,-54.6442,-36.3805,1999,164
165,0104000020B20E0000010000000101000000E476C0933D83D5C06660077EF2C9F340,gentoo,Nunez Peninsula - Totorore Point 1,-54.2714,-37.3381,1999,165
166,0104000020B20E000001000000010100000060261A655DF1D5C09473BF6B6EB8F340,gentoo,Nunez Peninsula - Totorore Point 2,-54.2739,-37.3449,1999,166
167,0104000020B20E0000010000000101000000ABA2260D60BED6C0843CDA6D7F99F340,gentoo,Nunez Peninsula - Totorore Point 3,-54.2783,-37.3576,1999,167
168,0104000020B20E00000100000001010000004DC88DCCAE89EA407C15982DE82DD040,gentoo,Paradise Beach 1,-54.8482,-36.1539,1999,168
169,0104000020B20E0000010000000101000000C15EDD0F4ECBEA40E7436E24734DD040,gentoo,Paradise Beach 2,-54.8471,-36.1457,1999,169
170,0104000020B20E0000010000000101000000D5960A3196CEEA4099B325BC46BDD040,gentoo,Paradise Beach 3,-54.843,-36.1454,1999,170
171,0104000020B20E00000100000001010000001DEA6D2F3588EA403B7ACC6BA136D140,gentoo,Paradise Beach 4,-54.8387,-36.1543,1999,171
172,0104000020B20E00000100000001010000009CC19A96A057EA40E7B7AFC223AAD140,gentoo,Paradise Beach 5,-54.8346,-36.1604,1999,172
173,0104000020B20E000001000000010100000069778DE8111EF0C0DEF9E0DDFC84FA40,gentoo,Paryadin Peninsula 1,-54.0199,-38.0072,1999,173
174,0104000020B20E0000010000000101000000549934B8601AF0C0905059FF5B69FA40,gentoo,Paryadin Peninsula 2,-54.0239,-38.0064,1999,174
175,0104000020B20E0000010000000101000000CAA99ACCA9EDEFC0A3D0F9FAC354FA40,gentoo,Paryadin Peninsula 3,-54.0269,-37.9978,1999,175
176,0104000020B20E00000100000001010000000D7A4863CDC3EFC0C6DED20B2549FA40,gentoo,Paryadin Peninsula 4,-54.0287,-37.9928,1999,176
177,0104000020B20E0000010000000101000000EB59F55AEFB2EFC0D519B4F5DB25FA40,gentoo,Paryadin Peninsula 5,-54.0337,-37.9908,1999,177
178,0104000020B20E000001000000010100000059FB6893FD1EF0C0924DED7EB1DDF940,gentoo,Paryadin Peninsula 6,-54.044,-38.0081,1999,178
179,0104000020B20E0000010000000101000000A4D65D21E43DEFC09BE144DA9F07FA40,gentoo,Paryadin Peninsula 7,-54.0382,-37.9766,1999,179
180,0104000020B20E0000010000000101000000D9861BF92A11EFC03BC5884DE048FA40,gentoo,Paryadin Peninsula 8 - Elsehul west,-54.0289,-37.971,1999,180
181,0104000020B20E0000010000000101000000E12BFC1279DBEEC0E106DB1C323DFA40,gentoo,Paryadin Peninsula 9 - Elsehul,-54.0306,-37.9644,1999,181
182,0104000020B20E00000100000001010000001A50F6C12293E7405501A0ECBFD5F140,gentoo,Penguin Bay 1,-54.3415,-36.2576,1999,182
183,0104000020B20E0000010000000101000000A852C9F99BD6E7409FB4EFF5DFADF140,gentoo,Penguin Bay 2,-54.3471,-36.2492,1999,183
184,0104000020B20E000001000000010100000062C2B5E0B143E84097A863AFE6A7F140,gentoo,Penguin Bay 3,-54.3479,-36.2358,1999,184
185,0104000020B20E00000100000001010000007A8F59B3C480C4C0CB65496B26C0F840,gentoo,Possession Bay - Brighton Beach,-54.0892,-37.1604,1999,185
186,0104000020B20E00000100000001010000005F8A4B38E513BEC03D345EBC57F4F740,gentoo,Possession Bay Brown Point,-54.1185,-37.1178,1999,186
187,0104000020B20E000001000000010100000074C2C596B4E8D5C0F60D2DD3BC3EF540,gentoo,Queen Maud Bay north 1,-54.2178,-37.3439,1999,187
188,0104000020B20E00000100000001010000002D64BD01DDD7D6C00816BA651A55F540,gentoo,Queen Maud Bay north 2,-54.2145,-37.3586,1999,188
189,0104000020B20E0000010000000101000000DB28934B3E7BD7C0C1A3C5C91261F540,gentoo,Queen Maud Bay north 3,-54.2128,-37.3686,1999,189
190,0104000020B20E000001000000010100000081426E1DA6BDD5C0AD60A58A9F8AF440,gentoo,Queen Maud Bay south,-54.2437,-37.3415,1999,190
191,0104000020B20E0000010000000101000000B4CB170B24C4E740167DD4CE9AC3D540,gentoo,Ranvik 1,-54.7975,-36.2432,1999,191
192,0104000020B20E00000100000001010000002DCC23B1E688E740C3957EA3043CD540,gentoo,Ranvik 2,-54.8024,-36.2505,1999,192
193,0104000020B20E0000010000000101000000B6A825DA4F23E740FF5A11CCFAE1D540,gentoo,Ranvik 3,-54.7965,-36.2632,1999,193
